Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,"Anaheim Angels, seeLos Angeles Angels",,,,,,,,,,,,,,,,,,,,
1,Arizona Diamondbacks,1998,2023,"4,063","1,971","2,092",.485,-121,5,1,1,6,587,2,"18,409","138,699","35,317","4,294",.255,"18,798",4.27
2,Atlanta Braves,1876,2023,"22,005","10,993","10,858",.503,135,22,18,4,28,2103,54,"98,313","753,433","195,753","14,700",.260,"96,963",3.67
,"Also played as Milwaukee Braves, Boston Braves, Boston Bees, Boston Rustlers, Boston Doves, Boston Beaneaters and Boston Red Stockings",,,,,,,,,,,,,,,,,,,,
3,Baltimore Orioles,1901,2023,"19,104","8,998","9,996",.474,-998,9,7,3,14,1955,34,"82,390","648,894","167,533","14,093",.258,"87,917",4.05
,Also played as St. Louis Browns and Milwaukee Brewers,,,,,,,,,,,,,,,,,,,,
,"Boston Braves, seeAtlanta Braves",,,,,,,,,,,,,,,,,,,,
4,Boston Red Sox,1901,2023,"19,091","9,855","9,153",.518,702,10,14,9,25,1915,38,"89,174","653,332","174,469","14,295",.267,"85,566",3.92
,Also played as Boston Americans,,,,,,,,,,,,,,,,,,,,
,"Brooklyn Dodgers, seeLos Angeles Dodgers",,,,,,,,,,,,,,,,,,,,
,"California Angels, seeLos Angeles Angels",,,,,,,,,,,,,,,,,,,,
5,Chicago Cubs,1876,2023,"22,046","11,220","10,665",.513,555,8,17,3,21,2219,46,"101,457","754,536","197,744","14,957",.262,"98,029",3.70
,"Also played as Chicago Orphans, Chicago Colts and Chicago White Stockings",,,,,,,,,,,,,,,,,,,,
6,Chicago White Sox,1901,2023,"19,101","9,539","9,459",.502,80,6,6,3,11,1858,34,"83,253","646,971","168,284","12,072",.260,"82,932",3.79
7,Cincinnati Reds,1882,2023,"21,632","10,835","10,658",.504,177,10,10,5,16,2131,37,"97,081","737,280","192,299","14,037",.261,"96,340",3.77
,Also played as Cincinnati Redlegs and Cincinnati Red Stockings,,,,,,,,,,,,,,,,,,,,
8,Cleveland Guardians,1901,2023,"19,104","9,739","9,274",.512,465,11,6,2,16,1980,35,"86,420","651,373","172,636","13,642",.265,"84,240",3.83
,"Also played as Cleveland Indians, Cleveland Naps, Cleveland Bronchos and Cleveland Blues",,,,,,,,,,,,,,,,,,,,
9,Colorado Rockies,1993,2023,"4,810","2,246","2,564",.467,-318,0,1,0,5,649,1,"24,001","165,380","44,955","5,457",.272,"25,432",4.99
10,Detroit Tigers,1901,2023,"19,126","9,563","9,470",.502,93,7,11,4,16,1779,24,"87,871","652,372","172,573","14,299",.265,"87,707",4.00
11,Houston Astros,1962,2023,"9,771","4,897","4,869",.501,28,12,5,2,16,974,10,"41,552","331,486","84,428","8,117",.255,"40,994",3.80
,Also played as Houston Colt .45s,,,,,,,,,,,,,,,,,,,,
,"Kansas City Athletics, seeOakland Athletics",,,,,,,,,,,,,,,,,,,,
12,Kansas City Royals,1969,2023,"8,625","4,103","4,520",.476,-417,8,4,2,9,979,4,"37,716","295,204","77,641","6,750",.263,"39,942",4.27
13,Los Angeles Angels,1961,2023,"9,931","4,943","4,985",.498,-42,9,1,1,10,1200,12,"43,077","337,139","86,504","8,927",.257,"43,472",3.99
,"Also played as Los Angeles Angels of Anaheim, Anaheim Angels and California Angels",,,,,,,,,,,,,,,,,,,,
14,Los Angeles Dodgers,1884,2023,"21,428","11,301","9,988",.531,1313,20,25,7,36,1939,52,"96,545","730,119","190,757","13,754",.261,"90,603",3.53
